date,home_team_name,away_team_name,home_score,away_score
2022-12-18,Argentina,France,3,3
2022-12-17,Croatia,Morocco,2,1
2022-12-14,France,Morocco,2,0
2022-12-13,Argentina,Croatia,3,0
2022-12-10,England,France,1,2
2022-12-10,Morocco,Portugal,1,0
2022-12-09,Netherlands,Argentina,2,2
2022-12-09,Croatia,Brazil,1,1
2022-12-06,Morocco,Spain,0,0
2022-12-06,Portugal,Switzerland,6,1
2022-12-05,Brazil,South Korea,4,1
2022-12-05,Japan,Croatia,1,1
2022-12-04,England,Senegal,3,0
2022-12-04,France,Poland,3,1
2022-12-03,Argentina,Australia,2,1
2022-12-03,Netherlands,United States,3,1
2022-12-02,Cameroon,Brazil,1,0
2022-12-02,Ghana,Uruguay,0,2
2022-12-02,South Korea,Portugal,2,1
2022-12-02,Serbia,Switzerland,2,3
2022-12-01,Japan,Spain,2,1
2022-12-01,Costa Rica,Germany,2,4
2022-12-01,Croatia,Belgium,0,0
2022-12-01,Canada,Morocco,1,2
2022-11-30,Australia,Denmark,1,0
2022-11-30,Poland,Argentina,0,2
2022-11-30,Tunisia,France,1,0
2022-11-30,Saudi Arabia,Mexico,1,2
2022-11-29,Wales,England,0,3
2022-11-29,Iran,United States,0,1
2022-11-29,Netherlands,Qatar,2,0
2022-11-29,Ecuador,Senegal,1,2
2022-11-28,Cameroon,Serbia,3,3
2022-11-28,Portugal,Uruguay,2,0
2022-11-28,Brazil,Switzerland,1,0
2022-11-28,South Korea,Ghana,2,3
2022-11-27,Belgium,Morocco,0,2
2022-11-27,Japan,Costa Rica,0,1
2022-11-27,Croatia,Canada,4,1
2022-11-27,Spain,Germany,1,1
2022-11-26,Argentina,Mexico,2,0
2022-11-26,France,Denmark,2,1
2022-11-26,Poland,Saudi Arabia,2,0
2022-11-26,Tunisia,Australia,0,1
2022-11-25,England,United States,0,0
2022-11-25,Netherlands,Ecuador,1,1
2022-11-25,Qatar,Senegal,1,3
2022-11-25,Wales,Iran,0,2
2022-11-24,Uruguay,South Korea,0,0
2022-11-24,Switzerland,Cameroon,1,0
2022-11-24,Brazil,Serbia,2,0
2022-11-24,Portugal,Ghana,3,2
2022-11-23,Belgium,Canada,1,0
2022-11-23,Spain,Costa Rica,7,0
2022-11-23,Germany,Japan,1,2
2022-11-23,Morocco,Croatia,0,0
2022-11-22,Denmark,Tunisia,0,0
2022-11-22,Argentina,Saudi Arabia,1,2
2022-11-22,Mexico,Poland,0,0
2022-11-22,France,Australia,4,1
2022-11-21,United States,Wales,1,1
2022-11-21,Senegal,Netherlands,0,2
2022-11-21,England,Iran,6,2
2022-11-20,Qatar,Ecuador,0,2
2019-07-07,United States,Netherlands,2,0
2019-07-06,England,Sweden,1,2
2019-07-03,Netherlands,Sweden,1,0
2019-07-02,England,United States,1,2
2019-06-29,Germany,Sweden,1,2
2019-06-29,Italy,Netherlands,0,2
2019-06-28,France,United States,1,2
2019-06-27,Norway,England,0,3
2019-06-25,Netherlands,Japan,2,1
2019-06-25,Italy,China,2,0
2019-06-24,Sweden,Canada,1,0
2019-06-24,Spain,United States,1,2
2019-06-23,France,Brazil,2,1
2019-06-23,England,Cameroon,3,0
2019-06-22,Norway,Australia,1,1
2019-06-22,Germany,Nigeria,3,0
2019-06-20,Thailand,Chile,0,2
2019-06-20,Sweden,United States,0,2
2019-06-20,Netherlands,Canada,2,1
2019-06-20,Cameroon,New Zealand,2,1
2019-06-19,Scotland,Argentina,3,3
2019-06-19,Japan,England,0,2
2019-06-18,Jamaica,Australia,1,4
2019-06-18,Italy,Brazil,0,1
2019-06-17,South Korea,Norway,1,2
2019-06-17,Nigeria,France,0,1
2019-06-17,South Africa,Germany,0,4
2019-06-17,China,Spain,0,0
2019-06-16,United States,Chile,3,0
2019-06-16,Sweden,Thailand,5,1
2019-06-15,Netherlands,Cameroon,3,1
2019-06-15,Canada,New Zealand,2,0
2019-06-14,Jamaica,Italy,0,5
2019-06-14,Japan,Scotland,2,1
2019-06-14,England,Argentina,1,0
2019-06-13,South Africa,China,0,1
2019-06-13,Australia,Brazil,3,2
2019-06-12,France,Norway,2,1
2019-06-12,Germany,Spain,1,0
2019-06-12,Nigeria,South Korea,2,0
2019-06-11,United States,Thailand,13,0
2019-06-11,Chile,Sweden,0,2
2019-06-11,New Zealand,Netherlands,0,1
2019-06-10,Canada,Cameroon,1,0
2019-06-10,Argentina,Japan,0,0
2019-06-09,England,Scotland,2,1
2019-06-09,Brazil,Jamaica,3,0
2019-06-09,Australia,Italy,1,2
2019-06-08,Spain,South Africa,3,1
2019-06-08,Germany,China,1,0
2019-06-08,Norway,Nigeria,3,0
2019-06-07,France,South Korea,4,0
2018-07-15,France,Croatia,4,2
2018-07-14,Belgium,England,2,0
2018-07-11,Croatia,England,2,1
2018-07-10,France,Belgium,1,0
2018-07-07,Russia,Croatia,2,2
2018-07-07,Sweden,England,0,2
2018-07-06,Brazil,Belgium,1,2
2018-07-06,Uruguay,France,0,2
2018-07-03,Colombia,England,1,1
2018-07-03,Sweden,Switzerland,1,0
2018-07-02,Belgium,Japan,3,2
2018-07-02,Brazil,Mexico,2,0
2018-07-01,Croatia,Denmark,1,1
2018-07-01,Spain,Russia,1,1
2018-06-30,France,Argentina,4,3
2018-06-30,Uruguay,Portugal,2,1
2018-06-28,Senegal,Colombia,0,1
2018-06-28,Japan,Poland,0,1
2018-06-28,England,Belgium,0,1
2018-06-28,Panama,Tunisia,1,2
2018-06-27,Switzerland,Costa Rica,2,2
2018-06-27,Serbia,Brazil,0,2
2018-06-27,Mexico,Sweden,0,3
2018-06-27,South Korea,Germany,2,0
2018-06-26,Denmark,France,0,0
2018-06-26,Nigeria,Argentina,1,2
2018-06-26,Iceland,Croatia,1,2
2018-06-26,Australia,Peru,0,2
2018-06-25,Iran,Portugal,1,1
2018-06-25,Spain,Morocco,2,2
2018-06-25,Uruguay,Russia,3,0
2018-06-25,Saudi Arabia,Egypt,2,1
2018-06-24,Japan,Senegal,2,2
2018-06-24,England,Panama,6,1
2018-06-24,Poland,Colombia,0,3
2018-06-23,Germany,Sweden,2,1
2018-06-23,Belgium,Tunisia,5,2
2018-06-23,South Korea,Mexico,1,2
2018-06-22,Nigeria,Iceland,2,0
2018-06-22,Brazil,Costa Rica,2,0
2018-06-22,Serbia,Switzerland,1,2
2018-06-21,Argentina,Croatia,0,3
2018-06-21,France,Peru,1,0
2018-06-21,Denmark,Australia,1,1
2018-06-20,Iran,Spain,0,1
